1708279091.048321 server started (79365): version 3.3a, socket /private/tmp/tmux-501/default, protocol 8
1708279091.048388 on Darwin 23.2.0 Darwin Kernel Version 23.2.0: Wed Nov 15 21:55:06 PST 2023; root:xnu-10002.61.3~2/RELEASE_ARM64_T6020
1708279091.048403 using libevent 2.1.12-stable (select); utf8proc 2.9.0; ncurses 6.4
1708279091.048466 input_key_build: 0x10e003 (PasteStart) is \033[200~
1708279091.048475 input_key_build: 0x10e004 (PasteEnd) is \033[201~
1708279091.048496 input_key_build: 0x10e195 (F1) is \033OP
1708279091.048503 input_key_build: 0x10e196 (F2) is \033OQ
1708279091.048510 input_key_build: 0x10e197 (F3) is \033OR
1708279091.048516 input_key_build: 0x10e198 (F4) is \033OS
1708279091.048522 input_key_build: 0x10e199 (F5) is \033[15~
1708279091.048528 input_key_build: 0x10e19a (F6) is \033[17~
1708279091.048534 input_key_build: 0x10e19b (F7) is \033[18~
1708279091.048540 input_key_build: 0x10e19c (F8) is \033[19~
1708279091.048545 input_key_build: 0x10e19d (F9) is \033[20~
1708279091.048551 input_key_build: 0x10e19e (F10) is \033[21~
1708279091.048557 input_key_build: 0x10e19f (F11) is \033[23~
1708279091.048563 input_key_build: 0x10e1a0 (F12) is \033[24~
1708279091.048568 input_key_build: 0x10e1a1 (IC) is \033[2~
1708279091.048574 input_key_build: 0x10e1a2 (DC) is \033[3~
1708279091.048580 input_key_build: 0x10e1a3 (Home) is \033[1~
1708279091.048586 input_key_build: 0x10e1a4 (End) is \033[4~
1708279091.048591 input_key_build: 0x10e1a5 (NPage) is \033[6~
1708279091.048597 input_key_build: 0x10e1a6 (PPage) is \033[5~
1708279091.048603 input_key_build: 0x10e1a7 (BTab) is \033[Z
1708279091.048609 input_key_build: 0x10e1a8 (Up) is \033[A
1708279091.048615 input_key_build: 0x10e1a9 (Down) is \033[B
1708279091.048621 input_key_build: 0x10e1aa (Left) is \033[D
1708279091.048627 input_key_build: 0x10e1ab (Right) is \033[C
1708279091.048632 input_key_build: 0x10e1ac (KP/) is /
1708279091.048638 input_key_build: 0x10e1ad (KP*) is *
1708279091.048644 input_key_build: 0x10e1ae (KP-) is -
1708279091.048650 input_key_build: 0x10e1af (KP7) is 7
1708279091.048655 input_key_build: 0x10e1b0 (KP8) is 8
1708279091.048661 input_key_build: 0x10e1b1 (KP9) is 9
